"nomAlgo","heuristique","nomFichier","numInstance","score","tempsChemin","tempsCalcul","nbSommetsGraphe","nbSommetsParcourus"
"A*",Manhattan,./src/resources/graphes/g/gAlea45.g,0,0.035,583.083,36.772,2025,1633
"A*",euclidienne,./src/resources/graphes/g/gAlea45.g,0,0.032,581.669,30.863,2025,1750
"Dijsktra",aucune,./src/resources/graphes/g/gAlea46.g,0,0.031,86.832,34.501,2116,1676
"A*",Manhattan,./src/resources/graphes/g/gAlea46.g,0,0.046,89.660,32.726,2116,1120
"A*",euclidienne,./src/resources/graphes/g/gAlea46.g,0,0.035,86.832,45.407,2116,1482
"Dijsktra",aucune,./src/resources/graphes/g/gAlea47.g,0,0.034,81.083,31.955,2209,1727
"A*",Manhattan,./src/resources/graphes/g/gAlea47.g,0,0.908,81.083,4.256,2209,65
"A*",euclidienne,./src/resources/graphes/g/gAlea47.g,0,0.142,81.083,23.240,2209,415
"Dijsktra",aucune,./src/resources/graphes/g/gAlea48.g,0,0.027,574.497,42.391,2304,2298
"A*",Manhattan,./src/resources/graphes/g/gAlea48.g,0,0.034,574.497,47.530,2304,1847
"A*",euclidienne,./src/resources/graphes/g/gAlea48.g,0,0.030,574.497,50.656,2304,2084
"Dijsktra",aucune,./src/resources/graphes/g/gAlea49.g,0,0.032,91.154,46.331,2401,1930
"A*",Manhattan,./src/resources/graphes/g/gAlea49.g,0,0.065,91.983,37.170,2401,952
